"Facility.Name","Facility.City","Facility.State","Facility.Type","Rating.Overall","Rating.Mortality","Rating.Safety","Rating.Readmission","Rating.Experience","Rating.Effectiveness","Rating.Timeliness","Rating.Imaging","Procedure.Heart Attack.Cost","Procedure.Heart Attack.Quality","Procedure.Heart Attack.Value","Procedure.Heart Failure.Cost","Procedure.Heart Failure.Quality","Procedure.Heart Failure.Value","Procedure.Pneumonia.Cost","Procedure.Pneumonia.Quality","Procedure.Pneumonia.Value","Procedure.Hip Knee.Cost","Procedure.Hip Knee.Quality","Procedure.Hip Knee.Value"
"Fayette County Hospital","Vandalia","Illinois","Unknown","3","Same","None","Below","Above","None","None","None","0","Unknown","Unknown","16787","Average","Average","15308","Average","Lower","0","Unknown","Unknown"
"Carlinville Area Hospital","Carlinville","Illinois","Private","4","Same","None","Same","None","Same","Same","Same","0","Unknown","Unknown","18508","Average","Average","18840","Average","Average","0","Unknown","Unknown"
"Red Bud Regional Hospital","Red Bud","Illinois","Proprietary","3","Same","None","Below","Same","Same","Above","None","0","Unknown","Unknown","17680","Average","Average","17897","Average","Average","0","Unknown","Unknown"
"Sparta Community Hospital","Sparta","Illinois","Government","3","Same","None","Above","None","None","None","Same","0","Unknown","Unknown","16466","Average","Average","16827","Average","Average","0","Unknown","Unknown"
"St Francis Hospital","Litchfield","Illinois","Church","4","Same","None","Below","Above","Same","None","Same","0","Unknown","Unknown","15647","Average","Average","16400","Average","Average","20252","Average","Lower"
"Clay County Hospital","Flora","Illinois","Government","3","Same","None","Below","None","Same","Same","None","0","Unknown","Unknown","15761","Average","Average","14547","Average","Lower","0","Unknown","Unknown"
"Ann & Robert H Lurie Childrens Hospital Of Chicago","Chicago","Illinois","Private","-1","None","None","None","None","None","None","None","0","Unknown","Unknown","0","Unknown","Unknown","0","Unknown","Unknown","0","Unknown","Unknown"
"Larabida Childrens Hospital I","Chicago","Illinois","Private","-1","None","None","None","None","None","None","None","0","Unknown","Unknown","0","Unknown","Unknown","0","Unknown","Unknown","0","Unknown","Unknown"
"Shriners Hospital For Children","Chicago","Illinois","Private","-1","None","None","None","None","None","None","None","0","Unknown","Unknown","0","Unknown","Unknown","0","Unknown","Unknown","0","Unknown","Unknown"
"Johnson Memorial Hospital","Franklin","Indiana","Government","3","Same","Same","Same","Same","Same","Same","Same","0","Unknown","Unknown","17036","Average","Average","18328","Average","Average","25354","Average","Higher"
"Methodist Hospitals Inc","Gary","Indiana","Private","3","Above","Above","Below","Same","Same","Below","Same","26183","Average","Average","17779","Better","Higher","18152","Average","Average","23916","Average","Higher"
"Franciscan Health Hammond","Hammond","Indiana","Church","3","Same","Above","Same","Below","Same","Below","Same","26118","Average","Average","19184","Average","Higher","21326","Average","Higher","0","Unknown","Unknown"
"Hendricks Regional Health","Danville","Indiana","Government","4","Same","Above","Same","Above","Above","Above","Below","22994","Average","Average","16131","Average","Average","18085","Average","Average","20395","Average","Lower"
"La Porte Hospital","La Porte","Indiana","Private","3","Below","Below","Above","Below","Same","Above","Same","24298","Average","Average","17083","Average","Average","18440","Average","Average","21410","Average","Average"
"Community Howard Regional Health Inc","Kokomo","Indiana","Private","4","Same","Same","Above","Same","Same","Above","Same","25682","Average","Average","18379","Average","Higher","20214","Average","Higher","20310","Average","Lower"
"St Catherine Hospital Inc","East Chicago","Indiana","Private","4","Above","Below","Above","Above","Same","Same","Same","27185","Average","Higher","20273","Better","Higher","22795","Average","Higher","22381","Average","Average"
"Clark Memorial Hospital","Jeffersonville","Indiana","Unknown","2","Same","Same","Below","Below","Same","Below","Above","24416","Average","Average","17172","Average","Average","18510","Average","Higher","21633","Average","Average"
"St Vincent Kokomo","Kokomo","Indiana","Church","4","Below","Above","Above","Above","Same","Above","Same","24111","Average","Average","17738","Average","Average","18707","Average","Higher","22968","Average","Higher"
"Marion General Hospital","Marion","Indiana","Private","3","Same","Below","Above","Same","Same","Same","Same","22090","Average","Average","16374","Average","Average","15362","Average","Lower","21020","Average","Average"
"Saint Joseph Regional Medical Center","Mishawaka","Indiana","Private","3","Below","Same","Above","Below","Same","Same","Same","21996","Average","Lower","16070","Worse","Average","17658","Average","Average","18476","Average","Lower"
"Franciscan Health Michigan City","Michigan City","Indiana","Church","4","Below","Above","Above","Below","Same","Same","Same","22747","Average","Average","16592","Average","Average","18418","Average","Average","20823","Average","Average"
"Lutheran Hospital Of Indiana","Fort Wayne","Indiana","Proprietary","2","Below","Below","Above","Below","Same","Below","Same","22490","Average","Average","18743","Average","Higher","17390","Average","Average","25093","Average","Higher"
"Elkhart General Hospital","Elkhart","Indiana","Government","4","Same","Same","Above","Same","Same","Same","Above","22946","Average","Average","15263","Average","Lower","17609","Average","Average","18375","Average","Lower"
"Parkview Regional Medical Center","Fort Wayne","Indiana","Private","4","Same","Below","Above","Above","Same","Same","Same","20628","Average","Lower","15209","Average","Lower","15931","Average","Lower","23140","Average","Average"
"Franciscan Health Crawfordsville","Crawfordsville","Indiana","Church","3","Same","Same","Same","Same","Same","Above","Same","0","Unknown","Unknown","15755","Average","Average","17739","Average","Average","22427","Average","Average"
"Union Hospital Inc","Terre Haute","Indiana","Private","3","Same","Same","Above","Same","Same","Same","Below","22328","Average","Lower","17776","Average","Higher","17016","Average","Average","22048","Average","Average"
"Eskenazi Health","Indianapolis","Indiana","Government","5","Above","Above","Above","Same","Same","Same","Above","18996","Average","Lower","15517","Average","Average","19042","Average","Average","26773","Average","Higher"
"Goshen General Hospital","Goshen","Indiana","Private","4","Same","Same","Above","Above","Below","Same","Below","25331","Average","Average","16187","Worse","Average","17280","Average","Average","21927","Average","Average"
"Henry County Memorial Hospital","New Castle","Indiana","Government","4","Same","Same","Above","Above","Same","Above","Same","0","Unknown","Unknown","16655","Average","Average","16754","Average","Average","21880","Average","Average"
"St Mary Medical Center Inc","Hobart","Indiana","Private","5","Above","Above","Below","Above","Same","Same","Same","25233","Average","Average","17860","Better","Higher","17910","Better","Average","19577","Average","Lower"
"Porter Regional Hospital","Valparaiso","Indiana","Proprietary","4","Same","Above","Below","Below","Same","Below","Same","25466","Average","Average","17687","Average","Higher","18614","Average","Higher","19556","Average","Lower"
"Hancock Regional Hospital","Greenfield","Indiana","Government","3","Below","Above","Above","Above","Same","Above","Same","22783","Average","Average","18554","Average","Higher","20687","Worse","Higher","21982","Average","Average"
"Good Samaritan Hospital","Vincennes","Indiana","Unknown","4","Same","Above","Below","Above","Same","Above","Same","24824","Average","Average","18287","Average","Higher","18616","Average","Higher","20172","Average","Lower"
"Baptist Health Floyd","New Albany","Indiana","Private","3","Above","Below","Below","Below","Same","Same","Same","24155","Average","Average","17836","Average","Higher","18088","Average","Higher","22546","Average","Average"
"Dekalb Health","Auburn","Indiana","Private","3","Same","Above","Below","Same","Same","Same","Same","0","Unknown","Unknown","16627","Average","Average","15268","Average","Lower","21747","Average","Average"
"Terre Haute Regional Hospital","Terre Haute","Indiana","Proprietary","2","Same","Below","Below","Same","Same","Above","Same","23336","Average","Average","17243","Average","Average","17537","Average","Average","26038","Average","Higher"
"St Joseph Hospital","Fort Wayne","Indiana","Proprietary","2","Same","Below","Same","Below","Same","Same","Same","23825","Average","Average","15378","Average","Average","17731","Average","Average","0","Unknown","Unknown"
"Reid Health","Richmond","Indiana","Private","5","Same","Above","Above","Same","Same","Same","Same","23641","Average","Average","16333","Average","Average","17342","Better","Average","21261","Average","Lower"
"Iu Health Bloomington Hospital","Bloomington","Indiana","Private","4","Same","Above","Above","Below","Same","Same","Above","23683","Average","Average","16495","Average","Average","18861","Average","Higher","21507","Average","Average"
"Indiana University Health","Indianapolis","Indiana","Private","4","Same","Above","Same","Below","Same","Below","Above","23770","Average","Average","16587","Average","Average","17950","Average","Average","20972","Average","Lower"
"Franciscan Health Mooresville","Mooresville","Indiana","Church","5","Same","Above","Above","Above","Same","Above","Same","0","Unknown","Unknown","15086","Average","Average","15903","Average","Lower","19965","Better","Lower"
"Memorial Hospital Of South Bend","South Bend","Indiana","Private","4","Below","Same","Above","Same","Below","Same","Same","21508","Average","Lower","15785","Worse","Average","17067","Worse","Average","19181","Average","Lower"
"Riverview Health","Noblesville","Indiana","Government","3","Below","Below","Above","Above","Same","Above","Same","21510","Average","Average","17633","Average","Average","17047","Average","Average","20473","Average","Lower"
"Daviess Community Hospital","Washington","Indiana","Unknown","4","Same","Same","Above","Same","Same","Above","Same","24804","Average","Average","17947","Average","Average","17386","Average","Average","23914","Average","Average"
"Fayette Regional Health System","Connersville","Indiana","Proprietary","4","Same","None","Above","Same","Below","Same","Same","0","Unknown","Unknown","15600","Average","Average","15758","Average","Lower","0","Unknown","Unknown"
"Schneck Medical Center","Seymour","Indiana","Government","5","Same","Above","Above","Above","Same","Above","Same","0","Unknown","Unknown","15079","Average","Average","15819","Average","Lower","20187","Average","Lower"
"King's Daughters' Health","Madison","Indiana","Private","4","Same","Above","Above","Above","Same","Same","Same","0","Unknown","Unknown","16772","Average","Average","16652","Average","Average","17441","Average","Lower"
"Memorial Hospital","Logansport","Indiana","Government","3","Same","None","Above","Same","Same","Above","Same","0","Unknown","Unknown","15637","Average","Average","17442","Average","Average","0","Unknown","Unknown"
"Community Hospital East","Indianapolis","Indiana","Private","4","Below","Above","Above","Above","Same","Same","Same","23683","Average","Average","18522","Average","Higher","17554","Worse","Average","20981","Average","Average"
"Bluffton Regional Medical Center","Bluffton","Indiana","Proprietary","3","Same","Same","Same","Same","Same","Above","Same","0","Unknown","Unknown","15685","Average","Average","16124","Average","Average","19805","Average","Lower"
"Saint Joseph Regional Medical Center - Plymouth","Plymouth","Indiana","Church","4","Same","Same","Above","Above","Same","Above","Same","23886","Average","Average","16287","Average","Average","19063","Average","Average","20150","Average","Average"
"Deaconess Hospital Inc","Evansville","Indiana","Private","3","Below","Above","Below","Above","Above","Above","Same","22796","Average","Average","16220","Average","Average","18300","Worse","Higher","20727","Average","Lower"
"St Vincent Hospital & Health Services","Indianapolis","Indiana","Church","3","Below","Below","Above","Same","Below","Same","Same","22127","Average","Lower","16293","Average","Average","18084","Worse","Average","23389","Average","Higher"
"Highpoint Health","Lawrenceburg","Indiana","Government","3","Same","Below","Below","Above","Same","Above","Same","22497","Average","Average","16990","Average","Average","18320","Average","Average","22101","Average","Average"
"St Vincent Anderson Regional Hospital Inc","Anderson","Indiana","Private","3","Same","Below","Above","Above","Same","Same","Same","22385","Average","Average","18325","Average","Higher","17971","Average","Average","20049","Worse","Lower"
"Indiana University Health Ball Memorial Hospital","Muncie","Indiana","Private","3","Above","Below","Above","Below","Same","Same","Above","22979","Average","Average","15707","Average","Lower","18125","Average","Higher","21109","Average","Lower"
"Franciscan Health Dyer","Dyer","Indiana","Church","3","Same","Above","Above","Below","Same","Below","Same","26442","Average","Higher","19082","Average","Higher","18438","Average","Average","20968","Average","Lower"
"Parkview Huntington Hospital","Huntington","Indiana","Private","4","Same","Same","Above","Above","Same","Same","None","0","Unknown","Unknown","16180","Average","Average","16297","Average","Average","22114","Average","Average"
"Major Hospital","Shelbyville","Indiana","Government","3","Same","Below","Below","Above","Same","Above","Below","23055","Average","Average","15361","Average","Average","17865","Average","Average","19762","Average","Lower"
"St Vincent Evansville","Evansville","Indiana","Private","3","Same","Below","Same","Above","Same","Above","Same","23382","Average","Average","17441","Average","Average","17793","Average","Average","18530","Average","Lower"
"Parkview Whitley Hospital","Columbia City","Indiana","Private","4","Same","None","Above","Above","Same","Above","Same","0","Unknown","Unknown","15790","Average","Average","16409","Average","Average","0","Unknown","Unknown"
"Starke Hospital","Knox","Indiana","Proprietary","3","Same","None","Same","None","Same","Above","Same","0","Unknown","Unknown","17404","Average","Average","16898","Average","Average","0","Unknown","Unknown"
"Witham Health Services","Lebanon","Indiana","Government","4","Same","Above","Above","Above","Same","Above","Same","24050","Average","Average","15095","Average","Average","16674","Average","Average","24035","Average","Higher"
"Franciscan Health Lafayette","Lafayette","Indiana","Church","4","Same","Below","Above","Above","Same","Same","Above","21757","Average","Lower","16781","Average","Average","18894","Average","Higher","20038","Average","Lower"
"Columbus Regional Hospital","Columbus","Indiana","Government","4","Same","Above","Above","Below","Same","Above","Same","23553","Average","Average","16212","Average","Average","16810","Average","Average","19462","Average","Lower"
"Community Hospital Of Anderson And Madison County","Anderson","Indiana","Private","3","Same","Below","Above","Above","Same","Above","Same","23969","Average","Average","15490","Average","Average","18242","Average","Average","20209","Average","Lower"
"Memorial Hospital And Health Care Center","Jasper","Indiana","Church","5","Same","Above","Above","Above","Same","Above","Same","24470","Average","Average","17059","Average","Average","18642","Average","Higher","20053","Average","Lower"
"Community Hospital","Munster","Indiana","Private","4","Above","Above","Below","Above","Same","Same","Same","28240","Average","Higher","20428","Better","Higher","19593","Average","Higher","21873","Average","Average"
"Franciscan Health Crown Point","Crown Point","Indiana","Church","4","Same","Above","Same","Same","Same","Same","Above","24437","Average","Average","17354","Average","Average","18912","Average","Higher","22002","Average","Average"
"Community Hospital South","Indianapolis","Indiana","Private","4","Same","Above","Above","Above","Same","Same","Same","22050","Average","Average","16623","Average","Average","17971","Worse","Average","19128","Average","Lower"
"Kosciusko Community Hospital","Warsaw","Indiana","Proprietary","2","Same","Same","Same","Below","Above","Above","Same","24677","Average","Average","15561","Average","Average","17030","Average","Average","21120","Average","Average"
"Parkview Noble Hospital","Kendallville","Indiana","Private","4","Same","Same","Same","Above","Same","Above","Same","0","Unknown","Unknown","16274","Average","Average","17682","Average","Average","25604","Average","Higher"
"Women's Hospital The","Newburgh","Indiana","Proprietary","5","None","Same","None","Above","Same","Above","None","0","Unknown","Unknown","0","Unknown","Unknown","0","Unknown","Unknown","0","Unknown","Unknown"
"Dupont Hospital Llc","Fort Wayne","Indiana","Proprietary","4","Same","Above","Same","Same","Same","Above","Same","0","Unknown","Unknown","15284","Average","Average","17382","Average","Average","19508","Average","Lower"
"St Vincent Heart Center Of Indiana Llc","Indianapolis","Indiana","Proprietary","5","Above","Above","Above","Above","Same","Same","None","22060","Average","Lower","14950","Average","Lower","0","Unknown","Unknown","0","Unknown","Unknown"
"St Vincent Carmel Hospital Inc","Carmel","Indiana","Church","4","Same","Above","Above","Above","Same","Same","Same","0","Unknown","Unknown","17630","Average","Average","18899","Average","Average","21012","Average","Average"
"Iu Health West Hospital","Avon","Indiana","Proprietary","5","Above","Above","Above","Above","Same","Below","Same","24073","Average","Average","16828","Average","Average","17041","Average","Average","23813","Average","Higher"
"Orthoindy Hospital","Indianapolis","Indiana","Unknown","-1","None","None","None","Above","None","None","None","0","Unknown","Unknown","0","Unknown","Unknown","0","Unknown","Unknown","19523","Average","Lower"
"Indiana University Health North Hospital","Carmel","Indiana","Private","5","Same","Above","Above","Above","Same","Same","Same","25134","Average","Average","16409","Average","Average","17851","Average","Average","21414","Average","Average"
"Franciscan Health Indianapolis","Indianapolis","Indiana","Church","2","Same","Below","Above","Above","Same","Below","Same","23764","Average","Average","17188","Average","Average","19068","Average","Higher","22170","Average","Average"
"Franciscan Health Munster","Munster","Indiana","Private","3","Same","Above","Below","Same","Same","Above","Same","24202","Average","Average","16608","Average","Average","15170","Average","Lower","23301","Average","Average"
"Pinnacle Hospital","Crown Point","Indiana","Unknown","4","Same","Above","Same","Above","None","None","None","0","Unknown","Unknown","15709","Average","Average","17185","Average","Average","24565","Average","Higher"
"Orthopaedic Hospital At Parkview North Llc","Fort Wayne","Indiana","Private","-1","None","None","None","Above","None","None","None","0","Unknown","Unknown","0","Unknown","Unknown","0","Unknown","Unknown","20731","Better","Lower"
"The Orthopaedic Hospital Of Lutheran Health Networ","Fort Wayne","Indiana","Proprietary","-1","None","None","None","Above","None","None","None","0","Unknown","Unknown","0","Unknown","Unknown","0","Unknown","Unknown","19335","Average","Lower"
"Community Hospital North","Indianapolis","Indiana","Private","3","Below","Below","Below","Above","Same","Same","Below","24445","Average","Average","17893","Average","Average","18101","Average","Average","22667","Average","Average"
"Physicians' Medical Center Llc","New Albany","Indiana","Unknown","5","None","None","Same","Above","Below","None","None","0","Unknown","Unknown","0","Unknown","Unknown","0","Unknown","Unknown","20266","Average","Lower"
"Indiana University Health Arnett Hospital","Lafayette","Indiana","Private","3","Below","Above","Above","Same","Same","Below","Above","22768","Average","Average","17891","Worse","Higher","17424","Average","Average","25445","Average","Higher"
"The Heart Hospital At Deaconess Gateway Llc","Newburgh","Indiana","Proprietary","4","Same","None","Below","Above","None","None","None","25296","Average","Average","18171","Average","Average","0","Unknown","Unknown","0","Unknown","Unknown"
"Kentuckiana Medical Center Llc","Clarksville","Indiana","Proprietary","2","Same","None","Below","Below","Below","Above","Same","27561","Average","Higher","19972","Average","Higher","20368","Average","Higher","0","Unknown","Unknown"
"Unity Medical And Surgical Hospital","Mishawaka","Indiana","Unknown","-1","None","None","None","Above","Same","None","None","0","Unknown","Unknown","0","Unknown","Unknown","0","Unknown","Unknown","25762","Average","Higher"
"Fairbanks","Indianapolis","Indiana","Private","-1","None","None","None","None","None","None","None","0","Unknown","Unknown","0","Unknown","Unknown","0","Unknown","Unknown","0","Unknown","Unknown"
"St Vincent Fishers Hospital Inc","Fishers","Indiana","Private","3","Same","None","Same","Same","Same","Same","Same","0","Unknown","Unknown","17046","Average","Average","17135","Average","Average","19988","Average","Average"
"Franciscan Health Carmel","Carmel","Indiana","Church","5","None","None","Above","Above","Same","None","None","0","Unknown","Unknown","0","Unknown","Unknown","0","Unknown","Unknown","19144","Average","Lower"
"Monroe Hospital","Bloomington","Indiana","Proprietary","4","None","Above","Above","Same","Same","Above","Same","0","Unknown","Unknown","17951","Average","Average","16958","Average","Average","38211","Average","Higher"
"Community Hospital Of Bremen Inc","Bremen","Indiana","Private","-1","None","None","Same","None","None","None","Same","0","Unknown","Unknown","0","Unknown","Unknown","19392","Average","Average","0","Unknown","Unknown"
"St Vincent Randolph Hospital Inc","Winchester","Indiana","Private","4","Same","None","Same","Above","Same","Same","None","0","Unknown","Unknown","16236","Average","Average","13045","Average","Lower","0","Unknown","Unknown"
"Indiana University Health Blackford Hospital","Hartford City","Indiana","Private","-1","None","None","Above","None","None","Same","None","0","Unknown","Unknown","0","Unknown","Unknown","22844","Average","Higher","0","Unknown","Unknown"
"St Vincent Jennings Hospital Inc","North Vernon","Indiana","Church","4","None","None","Same","None","Same","Same","None","0","Unknown","Unknown","0","Unknown","Unknown","15298","Average","Average","0","Unknown","Unknown"
"Rush Memorial Hospital","Rushville","Indiana","Government","3","Same","None","Same","None","Below","Above","Same","0","Unknown","Unknown","16065","Average","Average","16957","Average","Average","0","Unknown","Unknown"
"Pulaski Memorial Hospital","Winamac","Indiana","Unknown","3","Same","None","Same","Same","Same","Above","Same","0","Unknown","Unknown","16485","Average","Average","17192","Average","Average","0","Unknown","Unknown"
"Indiana University Health Paoli Hospital","Paoli","Indiana","Private","4","None","None","Same","None","Same","Same","Same","0","Unknown","Unknown","0","Unknown","Unknown","15911","Average","Average","0","Unknown","Unknown"
"St Vincent Williamsport Hospital Inc","Williamsport","Indiana","Church","4","Same","None","Same","None","Same","Above","Same","0","Unknown","Unknown","15034","Average","Average","15064","Average","Lower","0","Unknown","Unknown"
"St Vincent Mercy Hospital","Elwood","Indiana","Church","-1","Same","None","Same","None","None","None","None","0","Unknown","Unknown","16665","Average","Average","17397","Average","Average","0","Unknown","Unknown"
"St Vincent Clay Hospital Inc","Brazil","Indiana","Private","3","Same","None","Same","None","Same","Same","None","0","Unknown","Unknown","18144","Average","Average","20721","Average","Higher","0","Unknown","Unknown"
"Parkview Wabash Hospital, Inc","Wabash","Indiana","Private","4","Same","None","Same","Above","Same","Above","None","0","Unknown","Unknown","17224","Average","Average","18929","Average","Average","0","Unknown","Unknown"
"Indiana University Health Tipton Hospital Inc","Tipton","Indiana","Unknown","4","Same","None","Above","None","Same","Above","Same","0","Unknown","Unknown","17628","Average","Average","19443","Average","Higher","24397","Average","Higher"
"Indiana University Health White Memorial Hospital","Monticello","Indiana","Private","4","Same","None","Above","None","Same","Above","Same","0","Unknown","Unknown","15718","Average","Average","16111","Average","Average","0","Unknown","Unknown"
"Woodlawn Hospital","Rochester","Indiana","Government","4","Same","None","Above","Same","None","None","Same","0","Unknown","Unknown","15525","Average","Average","13679","Average","Lower","21232","Average","Average"
"St Vincent Salem Hospital Inc","Salem","Indiana","Private","-1","None","None","None","None","Same","Same","Same","0","Unknown","Unknown","0","Unknown","Unknown","0","Unknown","Unknown","0","Unknown","Unknown"
"Cameron Memorial Community Hospital Inc","Angola","Indiana","Private","4","Same","None","Above","Above","Same","Above","Same","0","Unknown","Unknown","15495","Average","Average","16819","Average","Average","28380","Average","Higher"
"Indiana University Health Frankfort Inc","Frankfort","Indiana","Private","4","Same","None","Same","None","Same","Above","None","0","Unknown","Unknown","17498","Average","Average","17108","Average","Average","0","Unknown","Unknown"
"Greene County General Hospital","Linton","Indiana","Government","2","Same","None","Below","Same","Same","Above","Same","0","Unknown","Unknown","17031","Average","Average","15634","Average","Average","0","Unknown","Unknown"
"Dukes Memorial Hospital","Peru","Indiana","Private","2","Same","None","Below","Same","Same","Above","Same","23720","Average","Average","17033","Average","Average","16056","Average","Average","27950","Average","Higher"
"Gibson General Hospital","Princeton","Indiana","Private","-1","None","None","Above","None","None","Above","None","0","Unknown","Unknown","0","Unknown","Unknown","17040","Average","Average","0","Unknown","Unknown"
"Iu Health Jay","Portland","Indiana","Government","4","Same","None","Above","Same","Same","Above","None","0","Unknown","Unknown","14802","Average","Average","16429","Average","Average","0","Unknown","Unknown"
"Perry County Memorial Hospital","Tell City","Indiana","Unknown","3","Same","None","Above","Above","Same","None","Below","0","Unknown","Unknown","17125","Average","Average","17423","Average","Average","0","Unknown","Unknown"
"Parkview Lagrange Hospital","Lagrange","Indiana","Private","4","Same","None","Above","Above","Same","Above","Same","0","Unknown","Unknown","15792","Average","Average","15139","Average","Lower","0","Unknown","Unknown"
"Franciscan Health Rensselaer, Inc","Rensselaer","Indiana","Private","2","Same","None","Below","None","Same","Above","None","0","Unknown","Unknown","16672","Average","Average","15359","Average","Lower","0","Unknown","Unknown"
"St Vincent Warrick","Boonville","Indiana","Private","3","None","None","Same","None","Same","Above","None","0","Unknown","Unknown","0","Unknown","Unknown","16235","Average","Average","0","Unknown","Unknown"
"Union Hospital Clinton","Clinton","Indiana","Private","4","Same","None","Above","Above","Same","Same","None","0","Unknown","Unknown","17091","Average","Average","18655","Average","Average","0","Unknown","Unknown"
"Sullivan County Community Hospital","Sullivan","Indiana","Government","3","Same","None","Below","Above","None","Same","None","0","Unknown","Unknown","17697","Average","Average","16349","Average","Average","0","Unknown","Unknown"
"Indiana University Health Bedford Hospital","Bedford","Indiana","Private","4","Same","None","Above","None","Same","Above","Same","0","Unknown","Unknown","16403","Average","Average","17886","Average","Average","0","Unknown","Unknown"
"Margaret Mary Health","Batesville","Indiana","Private","5","Same","Same","Above","Above","Same","Above","Below","0","Unknown","Unknown","16355","Average","Average","18094","Average","Average","23939","Average","Higher"
"Adams Memorial Hospital","Decatur","Indiana","Government","4","Same","None","Above","Above","Same","Above","Same","0","Unknown","Unknown","16616","Average","Average","17248","Average","Average","21819","Average","Average"
"Harrison County Hospital","Corydon","Indiana","Government","4","Same","None","Above","Above","Same","Above","Same","0","Unknown","Unknown","16064","Average","Average","17818","Average","Average","0","Unknown","Unknown"
"Decatur County Memorial Hospital","Greensburg","Indiana","Government","3","Same","None","Same","Above","Same","Above","Below","0","Unknown","Unknown","17043","Average","Average","16783","Average","Average","24353","Average","Higher"
"Putnam County Hospital","Greencastle","Indiana","Government","4","Same","None","Above","Same","Same","Above","Same","0","Unknown","Unknown","17680","Average","Average","16918","Average","Average","0","Unknown","Unknown"
"Scott Memorial Hospital","Scottsburg","Indiana","Proprietary","3","Same","None","Below","Same","Same","Above","Same","0","Unknown","Unknown","18206","Average","Average","17287","Average","Average","0","Unknown","Unknown"
"St Vincent Dunn Hospital Inc","Bedford","Indiana","Private","4","Same","None","Below","Above","Same","Same","Same","0","Unknown","Unknown","15418","Average","Average","16692","Average","Average","27367","Average","Higher"
"Unitypoint Health-marshalltown","Marshalltown","Iowa","Private","3","Same","Same","Above","Below","Same","Same","Same","24551","Average","Average","18059","Average","Average","17992","Average","Average","19294","Average","Lower"
"St Anthony Regional Hospital & Nursing Home","Carroll","Iowa","Private","4","Same","Same","Above","Above","Same","Above","Same","0","Unknown","Unknown","14803","Average","Lower","15171","Average","Lower","18774","Average","Lower"
"Unitypoint Health - Keokuk","Keokuk","Iowa","Private","3","Same","None","Same","Same","Same","Above","Same","0","Unknown","Unknown","16241","Average","Average","14849","Average","Lower","24468","Average","Average"
"Trinity Muscatine","Muscatine","Iowa","Private","4","Same","None","Above","Same","Same","Same","Same","0","Unknown","Unknown","15516","Average","Average","17425","Average","Average","0","Unknown","Unknown"
"Trinity Regional Medical Center","Fort Dodge","Iowa","Private","3","Below","Below","Above","Same","Same","Above","Same","25226","Average","Average","16943","Average","Average","17040","Average","Average","23389","Average","Average"
"Iowa Lutheran Hospital","Des Moines","Iowa","Private","3","Same","Above","Same","Same","Below","Same","Same","20766","Average","Lower","14483","Average","Lower","15570","Average","Lower","18149","Average","Lower"
"Chi Health Mercy Council Bluffs","Council Bluffs","Iowa","Private","4","Same","Above","Below","Same","Same","Above","Same","24246","Average","Average","16790","Average","Average","16159","Average","Lower","18386","Average","Lower"
"Mercy Hospital","Iowa City","Iowa","Church","5","Above","Above","Above","Above","Above","Above","Same","21218","Average","Lower","15482","Average","Average","16214","Average","Lower","17339","Average","Lower"
"Mary Greeley Medical Center","Ames","Iowa","Government","4","Same","Below","Above","Above","Same","Above","Above","22543","Average","Average","14646","Average","Lower","16406","Average","Lower","20960","Worse","Lower"
"Skiff Medical Center","Newton","Iowa","Government","4","Same","Above","Above","Above","Same","Above","Same","0","Unknown","Unknown","14852","Average","Average","14108","Worse","Lower","19930","Average","Lower"
"Genesis Medical Center-davenport","Davenport","Iowa","Private","2","Same","Below","Below","Below","Same","Same","Above","24514","Average","Average","16803","Average","Average","17170","Average","Average","20449","Worse","Lower"
"Sartori Memorial Hospital","Cedar Falls","Iowa","Church","2","Same","Below","Same","Below","Below","Above","Same","0","Unknown","Unknown","16749","Average","Average","17564","Average","Average","20868","Average","Lower"
"St Lukes Hospital","Cedar Rapids","Iowa","Private","5","Same","Above","Above","Same","Same","Same","Above","25125","Average","Average","17977","Average","Higher","18286","Average","Higher","20091","Average","Lower"
"Methodist Jennie Edmundson","Council Bluffs","Iowa","Private","4","Same","Above","Below","Above","Below","Above","Same","24980","Average","Average","17391","Average","Average","17260","Average","Average","20560","Average","Lower"
"Great River Medical Center","West Burlington","Iowa","Private","2","Same","Below","Same","Below","Same","Above","Below","21723","Average","Lower","15768","Average","Average","17177","Average","Average","20936","Average","Lower"
"University Of Iowa Hospital & Clinics","Iowa City","Iowa","Government","2","Same","Same","Below","Below","Same","Below","Above","23446","Average","Average","17744","Average","Higher","17428","Average","Average","18854","Average","Lower"
"Mercy Medical Center-north Iowa","Mason City","Iowa","Private","4","Below","Above","Above","Same","Same","Above","Same","25886","Average","Higher","18467","Worse","Higher","17430","Average","Average","20770","Average","Lower"
"Covenant Medical Center","Waterloo","Iowa","Church","2","Same","Below","Same","Below","Below","Same","Same","25565","Average","Average","17405","Average","Average","18454","Average","Average","23128","Average","Higher"
"Mercy Medical Center-dubuque","Dubuque","Iowa","Church","4","Same","Same","Above","Above","Above","Above","Same","23372","Average","Average","16683","Average","Average","17970","Average","Average","22863","Average","Average"
"Mercy Medical Center - Cedar Rapids","Cedar Rapids","Iowa","Church","5","Above","Same","Above","Same","Same","Above","Same","20558","Average","Lower","13811","Average","Lower","15374","Better","Lower","20095","Average","Lower"
